"mu" "sigma" "n" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
7 0.5 500 19 204 7.04599500565207 0.6093350057971 FALSE ""
7 1.5 600 98 205 7.01499501268261 1.05286840280521 FALSE ""
3 1 200 198 206 3.19499499092071 1.4566473186339 FALSE ""
3 1 400 17 207 2.79499499909773 1.11142180074262 FALSE ""
3 1.5 500 143 208 2.97599499134578 1.91654746805273 FALSE ""
3 1 400 39 209 3.09749500105715 1.11300828323415 FALSE ""
7 1.5 700 66 210 6.98999500259021 1.27611176685114 FALSE ""
7 0.5 300 115 211 6.92666167081693 1.41712334334014 FALSE ""
3 1 600 184 212 3.00832833681609 1.10118574752529 FALSE ""
7 1.5 700 8 213 7.03570928457473 1.97816456685312 FALSE ""
7 1.5 500 167 214 6.94999499312446 1.84629565279952 FALSE ""
7 1 50 72 215 6.85999502331037 1.77927701480658 FALSE ""
3 1 50 188 216 2.91999511029038 0.920193981627512 FALSE ""
3 1 900 31 217 3.05221722908361 0.98892550215174 FALSE ""
3 1 700 26 218 2.95856642841527 0.913288640318429 FALSE ""
3 1 1000 136 219 2.96599500046606 0.928525424095398 FALSE ""
7 1 400 69 220 7.14499499787729 1.30696646417467 FALSE ""
7 0.5 800 190 221 6.97499499036393 3.0745399200224e-08 FALSE ""
3 0.5 900 75 222 3.01221720549327 0.619822363606778 FALSE ""
7 0.5 800 192 223 6.95624499569041 0.62719496311205 FALSE ""
7 1 700 121 224 7.18285214238766 1.1799268626044 FALSE ""
3 1 50 95 225 2.99999497780262 3.01886192571292e-10 FALSE ""
7 0.5 1000 67 226 7.00499500323716 0.363651511214806 FALSE ""
3 1 900 137 227 3.07110611256643 0.872240146839072 FALSE ""
3 1.5 300 197 228 3.06666167859678 1.21690028086005 FALSE ""
7 0.5 100 152 229 6.30999538404636 1.589082974709e-10 FALSE ""
7 1.5 100 166 230 6.57999500129773 1.33190297402998 FALSE ""
3 1 800 85 231 2.89624500163097 0.989601941925667 FALSE ""
7 1.5 700 36 232 7.03285214160821 1.44260543138738 FALSE ""
7 1.5 200 106 233 7.39999499058903 1.94329476113957 FALSE ""
3 0.5 100 146 234 2.90999501624158 0.846605946549415 FALSE ""
3 1 1000 61 235 3.19599499800086 0.802052161844239 FALSE ""
3 1 50 133 236 2.75999499142802 0.671726936856431 FALSE ""
7 1 100 197 237 7.24999499867622 0.723021874807005 FALSE ""
3 0.5 700 1 238 2.98570924599389 0.448686310417285 FALSE ""
3 1.5 50 107 239 2.87999495015844 1.96495670792932 FALSE ""
3 1 1000 155 240 3.05299500034394 0.899459923978034 FALSE ""
7 1.5 800 160 241 6.93374502350478 1.47352676280848 FALSE ""
7 0.5 600 171 242 6.95999501776698 0.315985331358138 FALSE ""
3 0.5 500 153 243 2.95199497664442 0.437234804263515 FALSE ""
7 1 200 142 244 6.75999500025072 1.06693467498427 FALSE ""
3 1.5 900 99 245 2.98443945187658 1.29997130670661 FALSE ""
7 0.5 600 131 246 7.07499500049925 0.846110255173383 FALSE ""
3 1.5 900 45 247 2.98221721960444 1.39099667418527 FALSE ""
3 1.5 400 177 248 2.96499498563895 1.71015114975552 FALSE ""
7 1.5 400 56 249 6.88499499801013 1.3211517180915 FALSE ""
7 1 1000 109 250 6.96599500113869 0.806013842284112 FALSE ""
