"n" "rep" "id" "b0_mu_hat" "b1_mu_hat" "g0_si_hat" "g1_si_hat" "error" "errorMessage"
1000 84 75 7.45950966685117 -1.58094931315724 7.904052105194 -0.392628019753985 FALSE ""
600 41 76 1.07861952915558 -2.77842268042399 1.37448426237745 -2.25825462260477 FALSE ""
100 45 77 1.08441683494045 -2.36734340979014 1.30477359838866 -1.65063551902872 FALSE ""
500 1 78 1.23706390698772 -2.738574349282 1.38867628133005 -2.0429258099645 FALSE ""
800 41 79 1.39849101034945 -2.85877059239802 1.50887905632618 -1.74258973767964 FALSE ""
200 48 80 1.39945502821031 -2.98656662398746 1.90375051956263 -2.57293669011754 FALSE ""
100 94 81 2.62429189696601 -2.29656291505414 3.43257866048871 -1.3991585152773 FALSE ""
100 2 82 1.04148508853201 -2.85007319386785 1.36856107366824 -2.64948733334636 FALSE ""
700 27 83 1.22072629876296 -2.77965650169765 1.42150247053362 -1.99384989401216 FALSE ""
600 52 84 1.11456093768477 -3.25701458403651 0.998822566759537 -2.02116022811668 FALSE ""
50 94 85 0.935848576452379 -2.42742633857696 1.26660964510912 -2.08821229472254 FALSE ""
50 34 86 NA NA NA NA FALSE ""
200 67 87 1.11516607757956 -2.60259218314776 0.849163467517607 -1.32699383818772 FALSE ""
300 97 88 0.837468555495981 -3.40397175399624 0.688853543018971 -2.50285090635191 FALSE ""
800 38 89 1.16387369573569 -3.00049036857395 1.23254485058496 -2.25882193609531 FALSE ""
100 44 90 1.0467094135881 -2.98094168727094 1.18539779400078 -3.7808117290087 FALSE ""
900 49 91 1.31199235425289 -2.56703229473314 1.55495682253436 -1.8320219054403 FALSE ""
400 96 92 1.23619194219072 -2.83007700171788 1.4878828868917 -1.94122806778804 FALSE ""
800 17 93 1.29842614275889 -2.68047572692948 1.46168055771889 -1.98581932785989 FALSE ""
500 87 94 NA NA NA NA FALSE ""
50 77 95 NA NA NA NA FALSE ""
50 44 96 1.61434444536502 -3.29086049890475 1.12698791621763 -1.04539328291318 FALSE ""
500 8 97 9.36614454635317 -1.51651224129014 9.85208087553366 -0.424369468374625 FALSE ""
900 20 98 1.0214103586371 -3.26541514109676 0.928523016343528 -2.01524529420531 FALSE ""
500 49 99 0.9760001100023 -2.90720597745443 1.00754509645263 -2.41998989050663 FALSE ""
300 34 100 1.01528068307109 -2.91710905377013 1.05103984727425 -1.96450695130146 FALSE ""
800 70 101 1.19377008654931 -2.98818842024891 1.22825425085974 -2.00098898811512 FALSE ""
400 2 102 1.08938240117909 -2.84842895137701 1.0246619679491 -1.42742945472063 FALSE ""
700 22 103 1.21137161035262 -2.91620835602468 1.09147175068498 -1.78511251867494 FALSE ""
100 32 104 1.25247111284948 -2.79894623433347 1.45742061969031 -2.13155792937175 FALSE ""
100 10 105 NA NA NA NA FALSE ""
1000 43 106 NA NA NA NA FALSE ""
100 60 107 1.1286671028615 -5.03367638496233 0.78436445624649 -3.97998259749136 FALSE ""
100 82 108 1.10293727781703 -2.79323392180353 1.31845748312604 -1.72180777083831 FALSE ""
400 81 109 1.24730357860253 -3.50036911581999 1.14400384617755 -2.41740306161082 FALSE ""
200 66 110 1.12463023437262 -3.26397016865541 0.896953547305661 -1.99851265281121 FALSE ""
500 41 111 1.12370326420638 -2.94323185228313 1.28732424415493 -2.37068416160164 FALSE ""
500 56 112 1.2580725128922 -2.97055343901453 1.50396560157038 -2.1518594365997 FALSE ""
900 28 113 NA NA NA NA FALSE ""
1000 20 114 NA NA NA NA FALSE ""
600 65 115 NA NA NA NA FALSE ""
800 90 116 1.16327631879213 -2.83660367402345 1.14413698132754 -1.75710685517705 FALSE ""
400 77 117 1.24441568159076 -2.92134643573757 1.08037992455739 -1.36214870482628 FALSE ""
600 21 118 NA NA NA NA FALSE ""
700 20 119 6.44818255471936 -1.76754495798255 6.83398593701491 -0.314664534184049 FALSE ""
100 24 120 1.24396751653946 -3.5725836532042 1.14736715063582 -2.2487750176518 FALSE ""
50 36 121 NA NA NA NA FALSE ""
300 24 122 1.44326978834083 -3.08155593461254 1.41193466305036 -1.85595558899189 FALSE ""
1000 30 123 1.27515643049788 -2.86081827875209 1.42544469927031 -2.07967551754537 FALSE ""
500 12 124 1.2331738398751 -3.29685091338097 1.30239524229936 -2.34387142854183 FALSE ""
900 98 125 1.3126936592221 -3.06387936708572 1.2263892341067 -1.75971367136012 FALSE ""
300 60 126 1.04905568041816 -2.72353141419913 1.24379289398338 -2.08101448509518 FALSE ""
400 94 127 1.23094855721896 -2.83886663268426 1.28106906925454 -1.94241439967624 FALSE ""
